Id,Label,extime_copy,group,folder
1393,ncd_inqvid(),0,1,CLM_45_r97
1395,subgridRest_read_cleanup(),0,1,CLM_45_r97
1399,lnd2atm_minimal(),0,1,CLM_45_r97
1402,lnd2glc_inst%update_lnd2glc(),0,1,CLM_45_r97
1407,lnd_domain_esmf(),0,1,CLM_45_r97
1418,pftcon%Init(),0,1,CLM_45_r97
1420,crown_damage(),0,1,CLM_45_r97
1424,vocemis_inst%Init(),0,1,CLM_45_r97
1430,ncd_inqdid(),0,1,CLM_45_r97
1437,CNWoodProducts(),0,1,CLM_45_r97
1444,ch4_ebul(),0,1,CLM_45_r97
1448,soilbiogeochem_carbonflux_inst%Init(),0,1,CLM_45_r97
1451,SoilBiogeochemNStateUpdate1(),0,1,CLM_45_r97
1455,ncd_inqvdlen_byDesc(),0,1,CLM_45_r97
1461,hist_htapes_wrapup(),0,1,CLM_45_r97
1467,soilbiogeochem_nitrogenflux_inst%SetValues(),0,1,CLM_45_r97
1468,dgvs_inst%initAccVars(),0,1,CLM_45_r97
1470,c2g_1d(),0,1,CLM_45_r97
1476,this%convertCohortVectorToList(),0,1,CLM_45_r97
1486,InitAccVars(biogeochem)(),0,1,CLM_45_r97
1488,ed_phenology_inst%initAccVars(),0,1,CLM_45_r97
1497,CNMResp(),0,1,CLM_45_r97
1498,get_proc_bounds_old(),0,1,CLM_45_r97
1502,CNBackgroundLitterfall(),0,1,CLM_45_r97
1504,readCNGapMortParams(),0,1,CLM_45_r97
1508,SetMatrix_Soil_SnowUrban(),0,1,CLM_45_r97
1509,surfalb_inst%restart(),0,1,CLM_45_r97
1510,VOCEmission(),0,1,CLM_45_r97
1512,get_curr_time(),0,1,CLM_45_r97
1515,interp_1d_int(),0,1,CLM_45_r97
1517,setFilters(),0,1,CLM_45_r97
1518,Summary(),0,1,CLM_45_r97
1520,SatellitePhenology(),0,1,CLM_45_r97
1521,SoilBiogeochemVerticalProfile(),0,1,CLM_45_r97
1540,this%printDataInfoLL(),0,1,CLM_45_r97
1545,ncd_io(),0,1,CLM_45_r97
1546,grc%Init(),0,1,CLM_45_r97
1549,set_mindist(),0,1,CLM_45_r97
1551,SetMatrix_StandingSurfaceWater_Soil(),0,1,CLM_45_r97
1554,initInterp(),0,1,CLM_45_r97
1557,ncd_defvar(),0,1,CLM_45_r97
1565,EDParamsReadShared(),0,1,CLM_45_r97
1571,hfields_1dinfo(),0,1,CLM_45_r97
1574,restFile_close(),0,1,CLM_45_r97
1576,ncd_io_2d_int(),0,1,CLM_45_r97
1577,ncd_inqvname(),0,1,CLM_45_r97
1581,SurfaceAlbedoInitTimeConst(),0,1,CLM_45_r97
1584,cnveg_nitrogenflux_inst%Init(),0,1,CLM_45_r97
1590,surfrd_veg_all(),0,1,CLM_45_r97
1592,write_diagnostic(),0,1,CLM_45_r97
1599,p2c(),0,1,CLM_45_r97
1606,c14_soilbiogeochem_carbonflux_inst%Summary(),0,1,CLM_45_r97
1607,BandDiagonal(),0,1,CLM_45_r97
1608,decompInit_lnd(),0,1,CLM_45_r97
1614,photosyns_inst%NewPatchinit(),0,1,CLM_45_r97
1616,GetGlobalWrite(),0,1,CLM_45_r97
1619,find_nlgroup_name(),0,1,CLM_45_r97
1626,soil_water_retention_curve%soil_suction(),0,1,CLM_45_r97
1628,CNLitterToColumn(),0,1,CLM_45_r97
1632,waterflux_inst%Init(),0,1,CLM_45_r97
1640,CanopyFluxes(),0,1,CLM_45_r97
1645,charecteristics_of_fuel(),0,1,CLM_45_r97
1646,init_cohorts(),0,1,CLM_45_r97
1648,readCNPhenolParams(),0,1,CLM_45_r97
1654,glc_diagnostics_inst%Init(),0,1,CLM_45_r97
1662,c13_cnveg_carbonstate_inst%restart(),0,1,CLM_45_r97
